keluhan;bagian
"Selamat malam,&nbsp;
Kepada Yth. Bpk/Ibu
&nbsp;
Mohon maaf, saya ingin melaporkan perihal registrasi di igracias. Bahwa, matakuliah ""Tugas Akhir"" yang akan di ambil tidak dapat dipilih, maupun di tambahkan. Masalah ini juga terjadi kepada teman satu kelas saya lainnya.
Mohon bantuan untuk memperbaikinya. Terimakasih banyak.";BAA
Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut;BAA
Tidak dapat melakukan registrasi mata kuliah;BAA
"Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.";BAA
"Kebijakan setiap semester untuk penerima beasiswa suka berubah-ubah. Misal semester 2 dapat registrasi walaupun belum melakukan pembayaran, lalu semester 3 tidak dapat registrasi sebelum membayar.
Kemudian, sistem kadang telat memberitahukan berapa jumlah beasiswa yang didapat, sehingga telat mengetahui berapa jumlah bpp yang harus dibayarkan.";BAA
"aya&nbsp;rachmah firstriani, S1 Kriya tekstil dan mode, kelas KR 39 03B tidak bisa melakukan registasi online karena tidak ada pilihan matakuliah dan kelas sesuai dengan aturan yang seharusnya diambil pada semester genap ini pada pilihan registrasi serta tidak bisa melakukan klik pada kolom pilih yang seharusnya. Mata kuliah tersebut adalah:
Tugas Akhir (tidak bisa di Klik)&nbsp;
E-Fashion kelas KR 39 03B (tidak ada kelas dan tidak bisa di klik)
Budaya Nusantara kelas KR 39 03 (tidak ada kelas dan tidak bisa di klik)
dimohon untuk kerjasamanya terimakasih";BAA
Kan saya tadinya sudah dinyatakan cuti.tapi setelah beberapa waktu,jadinya batal cuti.secara administrasi saya sudah bayar BPP.secara aplikasi sudah di reject oleh wali dosen,prodi dan L.A.A fakultas.tapi kenapa statusnya masih cuti(status ini muncul pada saat registrasi mata kuliah).;BAA
"permisi saya mau komplain, biaya pendidikan saya sudah lunas semua tetapi kenapa status biaya pendidikan saya pada surat pernyattaan dan formulir biodata ijazah saya masih ""belum lunas""
";BAA
"Assalamualaikum wr wb.Maaf pak, saya sudah meminta cancel  untuk KSM saya ke dosen wali selama 3 hari dikarenakan kesalahan input  dan adanya MK yang belum terambil oleh saya. Namun setelah cek jam 10  pagi tadi KSM saya malah di acc oleh dosen wali saya. Saya takut kelas  yang tidak terambil oleh saya itu penuh setelah proses cancel KSM  selesai.
Terima Kasih.";BAA
"Selamat siang,&nbsp;
Saya Aulia Fiya Maulida Mahasiswi Desain Interior dengan NIM 1603151184, ingin mengajukan komplain terkait transkrip nilai akademik di iGracias.&nbsp;
Pada halaman nilai di igracias saya tertulis belum lulus sidang tingkat III, padahal saya telah menyelesaikan semua mata kuliah wajib dan satu pilihan di tingkat tersebut. Hal ini perlu dikoreksi agar saya dapat menyelesaikan proses sidang akhir pada semester ini. Berikut terlampir screenshot dari laman nilai igracias saya.
Mohon kepada admin untuk mengcross-check masalah tersebut, terimakasih.";BAA
Kenapa kartu ujian tidak bisa di cetak lg ? Klo tidak bisa di cetak Telkom sama aja ngebuat saya ngulang matakuliah;BAA
Tidak dapat melakukan registrasi mata kuliah;BAA
"""Selamat malam.
Saya Sahnaz mahasiswa kriya tekstil dan mode 2015. Saya tidak dapat melakukan registrasi mata kuliah dikarenakan mata kuliah yang tersedia tidak dapat dicentang.Berikut mata kuliah yang akan saya ambil&nbsp; : Tugas Akhir, e-fashion, dan budaya nusantara.&nbsp;
Mohon info dan tindakan lanjutannya. Terimakasih.&nbsp""";BAA
"Dear Sisfo,
Mohon bantuannya untuk dapat cetak KSM semester genap 2018/2019, sebagai salah satu syarat sidang.
Keterangan yang tertera pada menu registrasi adalah tidak ada histori KSM. Terima kasih";BAA
"Assalamualaikum saya dwi ratna sari dari S1 Sistem Informasi dengan nim 1202150258, saya ingin bertanya perihal dengan sks yg saya ambil kenapa hanya mencapai 20 sks saja, padahal. Ips acuan saya pada semester kemarin sebesar 3.13 yang mana harusnya dapat mengambil sebanyak 24 sks. Waktu kmaren pagi ketika registrasi saya masi bisa mengambil 24 sks,&nbsp; akan tetapi pas malam harinya ketika ingin submit batas sks yg dapat saya ambil hanya 20 sks.&nbsp; Kenapa bisa berubah?&nbsp; Pdhal ips acuan saya memenuhi syarat. Trimakasih";BAA
Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut;BAA
Tidak dapat melakukan registrasi mata kuliah .;BAA
jadwal kelas untuk seluruh mahasiswi kelas KR 039-03B kriya tekstil, fik. tidak dapat input mata kuliah karna tidak ada pilihan kelasnya. mohon bantuannya atas kelancaran kami dalam registrasi;BAA
Saya tidk dapat input mata kuliah, regitrasi bermasalah.;BAA
Selamat siang, saya mau komplain kenapa matkul pkn saya ada di semester 8 padahal sudah saya ambil di semester 1 dan nilainya sudah ada. Lalu, kenapa nilai kalkulus saya tidak ada padahal sebelumnya nilainya sudah ada, dan nilai akhir saya dengan 19 sks adalah 3.5 tapi kenapa sekarang sks semester 1 saya hanya 16 padahal total sks yg saya sudah ambil 19. Terima kasih;BAA
"Assamalamualaikum Wr. Wb.
Saya ingin melaporkan masalah penulisan jumlah sks di menu Lihat Nilai. Seharusnya saya sudah ada 15 SKS karena tinggal agama yang belum terinput nilainya, tetapi di gambar yang saya lampirkan hanya 13 SKS. Di mohon bantuannya. Terima Kasih.
Wasalamualaikum Wr. Wb.";BAA
"Selamat malam,
Saya Yovita Margaret Abigail Purba dari jurusan Sistem Informasi (SI-42-09). Saya ingin melaporkan tentang jumlah SKS total yang tertera pada Igracias. Jumlah SKS total yang tertera pada KSM berjumlah 18 sementara SKS total yang tertera pada kolom SKS total yang ada di Igracias berjumlah 15 padahal nilai saya telah terisi semua. Berikut saya menyertakan ksm dan screenshoot pada Igracias.";BAA
"Saya ingin mereset mata kuliah atau SKS, karna ada kesalahan dalam menginput, mata kuliah default tidak dapat di ""checklist"" atau di ""Input"".";BAA
"Permisi maaf mau komplain, saya tidak bisa input mata kuliah yang harusnya diambil pada semester ini, pada kolom pemilihan mata kuliahnya semua ada tulisan ""tingkat"" jadi tidak bisa dipilih. Semua teman satu kelas saya juga sama seperti itu, mohon segera ditindak lanjuti. Terimakasih sebelumnya";BAA
IP saya tidak berubah padahal nilai rangkaian listrik saya dari d menjadi ab tp ip saya tetap 2,8 sedangkan saya akan registrasi dan mengambil matakuliah tingkat atas;BAA
Kak kalau mau drop mata kuliah gimana ya, soalnya belum bisa ambil mata kuliah atas;BAA
"Selamat siang
Saya Rachmah Firstriani mahasiswa Kriya Tekstil dan Mode kelas KR 39 03
Tidak bisa melaksanakan proses registradi online karena matakuliah yang bersangkutan sesuai dengan proses perwalian masih belum bisa diakses sampai hari ini. Mata kuliah tersebut yaitu:
Budaya Nusantara kelas KR 39 03(Tidak ada pilihan untuk menekan klik)
E-Fashion kelas KR 39 03b (Tidak ada pilihan untuk menekan klik)
Hal serupa juga dialami oleh rekan-rekan sekelas saya yaitu kelas KR 39 03B.&nbsp;
Terimakasih, mohon untuk segera ditangani";BAA
Tidak bisa registrasi mata kuliah;BAA
"Permisi maaf mau komplain, saya tidak bisa input mata kuliah yang harusnya diambil pada semester ini, pada kolom pemilihan mata kuliahnya semua ada tulisan ""tingkat"" jadi tidak bisa dipilih. Semua teman satu kelas saya juga sama seperti itu, mohon segera ditindak lanjuti. Terimakasih sebelumnya";BAA
"Selamat malam,&nbsp;
Kepada Yth. Bpk/Ibu
&nbsp;
Mohon maaf, saya ingin melaporkan perihal registrasi di igracias. Bahwa, matakuliah ""Tugas Akhir"" yang akan di ambil tidak dapat dipilih, maupun di tambahkan. Masalah ini juga terjadi kepada teman satu kelas saya lainnya.
Mohon bantuan untuk memperbaikinya. Terimakasih banyak.";BAA
"Selamat malam, saya intan cantika putri mahasiwa semester 8, jurusan kriya tekstil dan mode. Ingin mengajukan komplain karena tidak dapat melakukan registrasi tahap 2 yaitu pengambilan mata kuliah, karena mata kuliah yang tertera pada kolom igracias tidak bisa di add untuk di acc ke dosen wali.
Terima kasih";BAA
Untuk matakuliah tugas akhir tidak bisa diambil;BAA
Pilihan matakuliah untuk semester 8 saya tidak bisa di klik dan ditabahkan untuk regristrasi matakuliah;BAA
IP saya tidak berubah padahal nilai rangkaian listrik saya dari d menjadi ab tp ip saya tetap 2,8 sedangkan saya akan registrasi dan mengambil matakuliah tingkat atas;BAA
saya mau drop mata kuliah bagaimana caranya?;BAA
"Selamat pagi saya Nadia Wulandari alumni dari prodi administrasi bisnis.
Terkait layanan yang saya pilih yaitu penerbitan ijazah, apakah dari pihak kampus bisa menerbitkan kembali ijazah asli? karena ijazah saya masih tertahan di satu korporat.
mohon bantuannya dan saya tunggu kabar baiknya
&nbsp;
Terima kasih";BAA
"Untuk legalisasi dokumen ijazah dan transkrip nilai yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras &nbsp;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.";BAA
saya sudah melakukan pembayaran legalisir ijazah dan sudah diapprove, untuk biaya pengiriman dan no rekening penerima bisa di lihat dmn ya?;BAA
"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
&nbsp;
Terimakasih banyak.";BAA
"Sebelumnya maaf karena tidak sesuai dengan layanan kategori yang saya inginkan, karena pada saat saya memilih untuk bagian ijazah tidak ada sub kategori sedangkan diharuskan untuk memilih sub kategori (dilampiran)
 
 Dan karena tidak ada divisi khusus untuk penanganan wisuda, saya ingin memberi masukan kepada Telkom untuk memperbaiki fasilitas yang di berikan pada saat wisuda. Dikampus lain dengan harga wisuda yang lebih murah mendapatkan sepaket tiga dengan bahan dan jahitan yang rapi, sedangkan di telkom harus membayar lagi 200rb dengan bahan toga yang jelek. Lalu mengapa tidak ada penghargaan untuk mahasiswa dengan predikat lulus yang baik? Sedangkan di kampus lain sangat menghargai itu dengan memberikan selempang khusus. Mohon dipertimbangkan untuk perbaikan wisuda berikutnya.";BAA
"permisi saya mau komplain, biaya pendidikan saya sudah lunas semua tetapi kenapa status biaya pendidikan saya pada surat pernyattaan dan formulir biodata ijazah saya masih ""belum lunas""
";BAA
Legalisasi dokumen. Sudah melebihi 5 hari dari waktu approve bukti pembayaran. namun belum ada informasi selanjutnya;BAA
"Saya lupa melakukan cetak nilai akhir (KHS), saya ingin melakukan cetak nilai KHS namun pilihan menampilkan nilai di Igracias sudah tidak ada. Bagaimana solusinya?&nbsp;
Terimakasih";BAA
saya ingin mencetak transkip nilai akhir tapi menu nilai pada igracias sudah tidak ada, solusinya bagaimana ya?;BAA
"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
&nbsp;
Terimakasih banyak.";BAA
saya sudah pernah mengajukan untuk legalisir ijazah dan transkrip nilai secara online tapi sampai sekarang belum ada proses lebih lanjut, mohon bantuannya;BAA
Pembayaran Legalisir ijazah belum di konfirmasi sudah 3 hari;BAA
Saya ingin legalisasi ijazah yang sudah ditranslasi, namun tidak ada halaman untuk mengunggah ijazah yang sudah ditranslasi.;BAA
Mohon maaf saya sudah mengajukan legalisir ijjazah dan transkip pada tanggal 1 desember 2016 sampai hari ini tg 24 desember saya belum menerima hasil legalisirnya, di mohon kepada pihak yg bersangutann segera memproses dan mengirimkan legalisir saya secepat mungkin krn unntuk melamar kerja..trims.;BAA
"Yth,
Saya sudah bayar uang legalisasi copy ijazah atas nama muhammad iqbal saleh nim 6302131066 pada bulan november 2016 tapi sampai sekarang tidak ada pemberitahuan lewat sms seperti yang dijanjikan bagian akademik.
Terima kasih
Regards,
Muhammad Iqbal Saleh";BAA
"Dear admin BAA,
Maaf ini bukan masukan atau keluhan, tetapi saya mau bertanya karena tidak ada menu message
1. saya memerlukan transkrip nilai tidak harus asli, yg pntg menginformasikan nilai nilai dan IPK selama masa perkuliahan, apakah bisa di download melalui i-gracias? karena saya tidak menemukan pilihan di menu untuk itu. Apakah admin BAA bisa membantu? ini untuk keperluan melamar pekerjaan
2. saat ini transkrip asli saya belum diambil, apakah diperbolehkan transkrip asli dikirim melalui ekspedisi atau apakah bisa diwakilkan?
terima kasih";BAA
Mohon dikirim ulang kembali untuk legalisir ijasah saya 10 lembar. Karena hanya dicap basah dan tidak di tanda tanganin dekan. Sehingga diragukan keasliannya. Untuk transkrip nilai sudah oke.;BAA
"Ingin menanyakan, apakah mungkin ijazah dan transkrip nilai dikirim melalui email terlebih dahulu? Saya sedang kesulitan mencari waktu untuk pergi ke Bandung mengambil ijazah sedangkan saya ingin mendaftar beasiswa&nbsp; PMDSU yang membutuhan lampiran salinan ijasah dan transkrip ang telah dilegalisasi.
Terima kasih.
Salam,Adli Ihsan";BAA
"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
&nbsp;
Terimakasih banyak.";BAA
Untuk Pengelola Asrama,Tolong untuk masalah air harap lebih diperhatikan.Terutama masalah cacing yg ada di air...apakah pemecahannya hanya dengan menyalakan kran air terus menerus ?Terimakasih;BAGIAN ASRAMA
"Air mati hari ini sejak pagi Asrama Putri 
 gedung B.
 Tolong ada solusi dan tindakan segera";BAGIAN ASRAMA
tolong air di asrama dibersihin lagi;BAGIAN ASRAMA
"assalamualaikum wr.wb
untuk bapa ibu yang terhormat,saya merasa asrama sinyalnya jelek mohon router di ganti sebaik ROG mudah mudahan masukan saya di terima karena tugas tertunda oleh gangguan sinyal yang kurang baik
terima kasih";BAGIAN ASRAMA
"Selamat malam,&nbsp;
Saya udah melunasi semua biaya pendaftran termasuk biaya asrama, tapi kenapa waktu saya cek di info kamar asrama informasi kamar saya tidak muncul, padahal sebelumnya saya sudah memiliki kamar asrama. Saya tidak pernah mengajukan pengunduran diri dari asrama.&nbsp;
Mohon BantuannyaTerima Kasih";BAGIAN ASRAMA
apakah asrama bisa dipakai untuk orang tua? selama kegiatan wisuda?kalo bisa saya hubungin kemana ya??;BAGIAN ASRAMA
saya ingin menambah masa tinggal saya di asrama, apakah bisa??;BAGIAN ASRAMA
kemaren saya sudah bayar asrama, tapi tidak terdaftar di asrama gedung tersebut. Mohon untuk dibetulkan;BAGIAN ASRAMA
asrama saya bermasalah, ko udh bayar tapi tidak terdftar ya?;BAGIAN ASRAMA
Saya penghuni asrama banyak mahasiswa yang masih melanggar aturan yang ada di asrama sehingga menganggu ketenangan mahasiswa lainnya. Saya mohon untuk peraturan yang ada di asrama untuk bisa di perketat lagi agar supaya dalam asrama saling nyaman satu sama lain Terimakasih.;BAGIAN ASRAMA
asrama yang kosong bisa sebagai penginapan untuk wisuda ga ya?? kalo bisa saya hubungin kemana ya??;BAGIAN ASRAMA
asrama saya habis, apakah bisa diperpanjang untuk masa asramanya?;BAGIAN ASRAMA
kemaren saya sudah bayar asrama, tapi mungkin ada kesalahan. saya tidak terdaftar di gedung asrama manapun;BAGIAN ASRAMA
tolong demi kesejahteraan bersama, ko air di asrama hampir semua gedung keluhannya sama yaitu airnya kotor banget. kalo bisa ada bagian yg ngebersihin 1bulan sekali, terimakasih ;BAGIAN ASRAMA
kemaren saya sudah mendapatkan kamar dan gedung asrama. tetapi beberapa hari kemuadian ketika saya cek lagi kamar dan asrama tersebut menghilang, kenapa yaa??;BAGIAN ASRAMA
apakah bisa diganti ga asrama gedung dan kamarnya? saya pengen pindah;BAGIAN ASRAMA
mohon untuk penjaga gedung 7, pak jangan galak2 saya kemaren kena omel padahal cuman salah naruh barang saja.;BAGIAN ASRAMA
apakah saya boleh bawa menginap teman dari luar ke asrama?? ;BAGIAN ASRAMA
kemaren saya kena marah satpam penjaga gerbang asrama putra, saya pualng sudah lebih dari jam yg ditentukan dikarenakan rapat yang sampe larut malam. padahal ada surat, tetapi saya alah dibukanya lama. mohon untuk para penjaga satpam, saya ada surat mohon untuk diijinkan masuk. karena saya bsoknya masuk pagi;BAGIAN ASRAMA
satpam depan asrama bikin rese, saya harus nunggu sampe 2jam untuk membukakan pintu asrama;BAGIAN ASRAMA
saya kemaren sudah bayar semua biaya termasuk asrama, dan saya sudah mendapatkan kamr dan gedung. tetapi beberapa hari kemudian saya mengecek, kamr asrama tersebut gaada. aneh, saya tidak pernah mengajukan pengunduran diri diasrama. terimakasih;BAGIAN ASRAMA
info kamar asrama tidak muncul, padahal saya sudah membayarnya;BAGIAN ASRAMA
saya ingin tinggal diasrama lagi, apakah bisa?? ;BAGIAN ASRAMA
SR di asrama saya judes banget;BAGIAN ASRAMA
saya kena omel satpam padahal saya ada surat ijin untuk masuk asrama larut malam;BAGIAN ASRAMA
tolong keamanan di asrama ditingkatkan lagi, kalo perlu dikasih cctv;BAGIAN ASRAMA
asrama lebih baik lagi kalo di tumbuhi banyak pohon, agar tidak terlalu panas pada siang hari ;BAGIAN ASRAMA
kamar mandi asrama lebih diperhatikan lagi karena terlalu kecil dan sangat tidak nyaman;BAGIAN ASRAMA
Apakah saya bisa masuk asrama lagi di tahun kedua. tolong penjelasannya;BAGIAN ASRAMA
toilet asrama jorok banget, tolong diperbaiki fasilitasnya;BAGIAN ASRAMA
wifi di asrama sangat lemot sehingga menggangu proses belajar saya;BAGIAN ASRAMA
air di asrama sering mati dan kotor banget. tolong di perbaiki karena sudah beberapa kali air mati dan keluarnya kotor;BAGIAN ASRAMA
saya ga dibolehin masuk sama satpam padahal saya udah bawa surat dan sudah izin sebelumnya;BAGIAN ASRAMA
kantin asrama harganya tidak sesuai dengan kantong mahasiswa, masih jauh lebih murah makanan di luar telkom;BAGIAN ASRAMA
apa asrama bisa dipakai untuk penginapan orang tua saya saat wisuda. tolong jawabannya segera;BAGIAN ASRAMA
toilet asrama terlalu kecil dan airnya sering mati;BAGIAN ASRAMA
wifi di gedung 7 sering mati dan kamar saya tidak dapat sinyal ;BAGIAN ASRAMA
tolong air di asrama di bersihin lagi karena sering keluar cacing dan airnya kotor ;BAGIAN ASRAMA
helm saya di parkiran asrama hilang. mohon ditingkatkan lagi keamanannya terutama di parkiran;BAGIAN ASRAMA
saya tidak dapat kamar di asrama padahal sudah bayar. mohon penjelasannya;BAGIAN ASRAMA
apakah saya bisa menetap di asrama lagi setelah tahun pertama;BAGIAN ASRAMA
toilet di asrama sangat kotor dan showernya sudah karatan, mungkin bisa diganti dengan yg baru;BAGIAN ASRAMA
wifi di asrama lemot banget apalagi saat malam hari sehingga menggangu proses belajar saya;BAGIAN ASRAMA
sering kali air mati saat pagi hari dan ketika nyala air yang keluar kotor, tolong diperbaiki lagi fasilitasnya;BAGIAN ASRAMA
apakah saya bisa membawa teman untuk menginap di asrama, kebetulan satu teman saya keluar dari asrama;BAGIAN ASRAMA
saya sudah membayar asrama tapi tidak muncul nomor kamar saya;BAGIAN ASRAMA
apakah saya bisa menambah masa asrama, dan jika bisa apa saja persyaratannya;BAGIAN ASRAMA
apa saja persyaratan untuk menjadi SR di asrama, saya ingin mendaftar;BAGIAN ASRAMA
asrama bisa ditumbuhi pohon lebih banyak lagi agar terasa sejuk dan tidak terlalu panas saat siang hari;BAGIAN ASRAMA
Apakah orang tua bisa mengirimkan paket ke asrama?;BAGIAN ASRAMA
Asrama gedung 9 lantai 4, wifinya gak bisa dipake setiap nyoba nyambung ke wifi.id pasti gagal sekalipun nyambung gabisa masuk ke “welcome to wifi.id” kalo mau komplain kemana ya?;BAGIAN ASRAMA
misalnya kehabisan kamar asrama, terus maba yang gak kebagian kamar gimana nasib nya ?;BAGIAN ASRAMA
kalau ga kebagian asrama berarti ga bayar biaya asrama? Terus kita ikutan check in asrama ga?;BAGIAN ASRAMA
kalo kita sudah bayar uang asrama tp kemarin kapasitas asrama masih ada, ketika cek di website nggak ad keterangan kamar. Jd nggak dpt kamar ya?;BAGIAN ASRAMA
"saya lulusan jalur CBT dan saya tidak dapat tagihan untuk membayar asrama tadi saya ke telkom university katanya CBT memang gak ada asrama ya? jadi saya gak usah ikt check in kan ?
makasih sebelumnya";BAGIAN ASRAMA
mau tanya berapa biaya tinggal di asrama telkom?;BAGIAN ASRAMA
kalo maba asli org bdg hrs asrama juga engga ? Klo engga asrama bisa kan .;BAGIAN ASRAMA
maba kan ditentukan anggota kamarnya, kira2 bagaimana pembagian anggota kamarnya;BAGIAN ASRAMA
alau udah di tahun ke dua, masih bisa tinggal asrama gk? Apa cmn setahun awal doang?;BAGIAN ASRAMA
alau ortu mau kirim barang ke maba yang tinggal di asrama, dialamatkan ke mana ?;BAGIAN ASRAMA
Apakah penghuni asrama diperbolehkan pulang malam?;BAGIAN ASRAMA
Kamar mandi terletak di dalam atau di luar kamar asrama?;BAGIAN ASRAMA
Jika ada jam kosong atau hari libur, bolehkah penghuni asrama menginap di luar atau kembali ke rumah masing-masing?;BAGIAN ASRAMA
Bolehkah membawa kendaraan bermotor ke asrama?;BAGIAN ASRAMA
transfer uang asramanya gimana kk?;BAGIAN ASRAMA
Biaya asrama 4 jt itu selama sebulan atau sudah selama setahun ya?;BAGIAN ASRAMA
Apakah dikamar diberi AC atau kipas angin?;BAGIAN ASRAMA
Kalo gabole parkir di sekitaran asrama jd parkiran nya dimana ya?;BAGIAN ASRAMA
mau tanya apakah boleh setiap sabtu minggu dijemput orang tua dan menginap sehari?;BAGIAN ASRAMA
untuk kendaraan bermotor, nantinya parkir dibagian sebelah mana asrama? Jauh tidak?;BAGIAN ASRAMA
Apakah asrama ini hanya untuk siswa baru ?? Mahasiswa yg sudah naik tingkat sudah tidak boleh tinggal asrama??;BAGIAN ASRAMA
"ukuran kasur asrama nya berapa ya kak?

";BAGIAN ASRAMA
Apakah kamar cukup nyaman tanpa ac? Mengingat 1 kmr berempat dgn bnyk barang.;BAGIAN ASRAMA
wifi id di asrama sering lemot dan tidak bisa tersambung;BAGIAN ASRAMA
wifi di gedung 10 sering terputus dan tidak stabil, tolong diperbarui;BAGIAN ASRAMA
Bisakah ajukan pindah kamar karena alasan tertentu?;BAGIAN ASRAMA
Bisakah tukar nomor kasur?;BAGIAN ASRAMA
Apakah bisa check in atau hanya menyimpan barang-barang lebih dulu dari waktu yang telah dijadwalkan?;BAGIAN ASRAMA
Apa itu Senior Residence Asrama Telkom University?;BAGIAN ASRAMA
Apakah ada jasa laundry di asrama?;BAGIAN ASRAMA
Apakah penghuni asrama diperbolehkan pulang malam?;BAGIAN ASRAMA
Apa saja fasilitas yang diberikan asrama selain kasur, bantal, guling, ranjang dan meja belajar?;BAGIAN ASRAMA
Apakah orang tua boleh menginap di asrama?;BAGIAN ASRAMA
Apakah asrama bersifat wajib?;BAGIAN ASRAMA
saya ingin bertanya. Sudah kurang lebih 3 bulan ini wifi id di Asrama C tidak berfungsi.. bagaimana ya solusi nya;BAGIAN ASRAMA
Laporan bahwa air keran di asrama air nya tidak bersih dan membawa cacing;BAGIAN ASRAMA
Saya udah melunasi semua biaya pendaftran termasuk biaya asrama, tapi kenapa waktu saya cek di info kamar asrama informasi kamar saya tidak muncul, padahal sebelumnya saya sudah memiliki kamar asrama. Saya tidak pernah mengajukan pengunduran diri dari asrama.;BAGIAN ASRAMA
Wifi.id nya sering mati pada saat siang hari dan baru hidup pada pukul 9 malam ini akan sangat mengganggu pada saat mengerjakan tugas ataupun mencari referensi tugas kuliah. diharap bapak/ibu berkenan untuk meninjau kembali wifi yang ada di asrama gedung 6 terimakasih;BAGIAN ASRAMA
saya sudah bayar biaya asrama tetapi belum mendapat nomor kamar;BAGIAN ASRAMA
wifi id di asrama gedung 4 sudah mati 2 minggu, tolong perbaiki;BAGIAN ASRAMA
saran saya sediakan sepeda untuk penghuni asrama, karena sangat jauh apabila ingin pergi ke gedung fakultas;BAGIAN ASRAMA
sudah 3 minggu wif id di asrama gedung 5 mati dan setiap bisa digunakan sangat lemot;BAGIAN ASRAMA
setiap pagi air di asrama mati sudah 2 hari;BAGIAN ASRAMA
jam malam di asrama terlalu cepat, padahal banyak kegiatan organisasi yang sampai malam;BAGIAN ASRAMA
saya tidak ditahan oleh satpam karena pulang terlalu malam, padahal sudah izin sebelumnya dan sudah membawa surat dari organisasi;BAGIAN ASRAMA
kebersihan air sangat kurang di gedung asrama, tolong ditinjau lagi;BAGIAN ASRAMA
kelancaran internet atau wifi id di asrama sangat penting untuk mahasiswa, maka itu sebaiknya wifi id nya diperbaiki atau diganti dengan yang lebih bagus;BAGIAN ASRAMA
ketersediaan air di asrama menurut saya sangat kurang, sebaiknya lebih diperhatikan lagi demi kenyamanan bersama;BAGIAN ASRAMA
bagaimana cara pindah kamar di asrama, karena kamar saya kosong dan saya sendirian;BAGIAN ASRAMA
"Maaf sebelumnya, saya tahu kalau komplain wifi itu bukan disini tapi ini menyangkut kesejahteraan penghuni asrama gedung 6.
&nbsp;
Wifi.id nya sering mati pada saat siang hari dan baru hidup pada pukul 9 malam ini akan sangat mengganggu pada saat mengerjakan tugas ataupun mencari referensi tugas kuliah. diharap bapak/ibu berkenan untuk meninjau kembali wifi yang ada di gedung 6 terimakasih";BAGIAN ASRAMA
Bagus tuh kalo diadain pelatihan buat mahasiswa walaupun pasti banyak yg ga minat, tapi sengganya ada kegiatan positif dari kampus yg dpt membekali mahasiswa setelah lulus;CAE
Adakan pelatihan karir untuk mahasiswa lebih banyak lagi dan gratis ;CAE
Lebih ditingkatkan lagi acara jobfair dikampus , karena itu sangat mempermudah sekali untuk proses rekrutasi.;CAE
ditingkatkan kembali harapannya dapat update terus lowongan2nya;CAE
tetap di pertahankan dengan update informasi lowongan pekerjaan yang tergolong cepat ;CAE
tolong adakan filter search utk mencari posisi yg dituju pd info lowongan, dan minta tlg perbanyak info loker desain produk min hehehe;CAE
Adain rekomendasi lowongan pekerjaan sesuai skill yang dimiliki perorangan;CAE
Lebih sosialisasikan cdc ;CAE
Sosialisasi cdc di perluas;CAE
kalau bisa lebih banyak lagi info tentang lowongan kerja ;CAE
Sebaiknya, Meyediakan jug lowongan pekerjaan yang mencakup semua pekerjaan yang cocok untuk masing-masing lulusan Prodi di Telkom University. Karena sejauh ini, kebanyakan informasi lowongan pekerjaan yang diberikan hanya pekerjaan-pekerjaan untuk lulusan-lulusan tertentu seperti teknik informatika, teknik elektro dll.;CAE
Berikan informasi lowongan kerja selain sebagai programmer.;CAE
Untuk lowongan kerja baiknya ditambah caption tentang kualifikasi yg lebih lengkap lgi di setiap postnya;CAE
terkadang informasi loker nya kurang lengkap;CAE
