,keluhan,bagian,clean_keluhan
124,"Saya sudah mendaftar sidang dan yudisium menggunakan LOA dan form lainnya , dan sudah membayar wisuda dan toga dan tidak ada tunggakan biaya semester , namun di bagian sub wisuda , saya dinyatakan belum membayar wisuda dan masih ada tunggakan semester , itu kenapa ya pak / bu? Terimakasih",BAA,daftar sidang yudisium loa form bayar wisuda toga tunggak biaya semester sub wisuda nyata bayar wisuda tunggak semester
125,Saya sudah lunas pembayaran wisuda. Apakah bisa untuk aktivasi registrasi wisuda tanpa harus ke admin? Soalnya masih ada urusan diluar. Apakah wisuda november memiliki maks kuota wisudawan?,BAA,lunas bayar wisuda aktivasi registrasi wisuda urus wisuda november milik maks kuota wisudawan
126,"Saya Muhammad Damar Hafizh NPM. 1401144241, ingin bertanya terkait registrasi Wisuda Periode November 2018, terlampir bahwasanya saya sudah registrasi wisuda justru kolom merah keluar lagi yang menyatakan saya belum upload openlibrary, padahal sebelumnya sudah hijau, lalu saya mengupload foto berjas hitam dengan latar terang, apakah tidak masalah Pak/Bu? Dan juga saya memohon untuk dibuka kembali update pendaftaran wisuda karena lupa menyimpan form Wisuda. Terima Kasih.",BAA,muhammad damar hafizh npm kait registrasi wisuda periode november lampir registrasi wisuda kolom merah nyata upload openlibrary hijau mengupload foto jas hitam latar terang buka update daftar wisuda lupa simpan form wisuda
127,"Salam.
Saya ingin menyampaikan keluhan mengenai pengumuman peserta wisuda. Wisuda bulan Agustus diadakan 2 kloter, yaitu tanggal 14 dan 15. Namun sampai dengan awal Agustus belum ada kepastian mengenai pembagian kloter untuk setiap jurusannya, misalnya D3 Komputerisasi Akuntansi dapat tanggal 14 atau 15, juga belum ada surat resmi dan undangan orang tua. Beberapa orang tua berprofesi sebagai pegawai negeri, seperti orang tua saya, dan izinnya harus ke dinas dengan menyertakan undangan wisuda. Tidak bisa izin sembarangan dan seenaknya. Selain itu, orang tua saya juga dari luar kota dan perlu memesan tiket, penginapan, dan lain-lain.&nbsp;
Alangkah baiknya, pengumuman dan undangan orang tua dibagikan setidaknya sebulan sebelum atau paling tidak ya awal Agustus, supaya yang dari luar kota juga bisa bersiap-siap. Saya harap ketidaknyamanan ini tidak terulang lagi untuk wisuda periode selanjutnya dan saya harap segera diperbaiki. Terima kasih.",BAA,salam keluh kena wisuda wisuda agustus kloter tanggal agustus kena kloter d komputerisasi akuntansi tanggal surat resmi undang orang tua orang tua profesi pegawai negeri orang tua izin dinas undang wisuda izin sembarang enak orang tua kota mes tiket inap lainlainnbsp alangkah undang orang tua agustus kota bersiapsiap harap ketidaknyamanan ulang wisuda periode harap
128,permisi untuk wisuda pada bulan agustus diketerangan tertera&nbsp;Anda belum mengisi I-Gracias menu Tracer Study --&gt; Sensus --&gt; Member Tel-U Career sedangkan sudah saya buka pada trace study --&gt; sensus disana tidak tertera member tel-u career itu bagaimana solusinya,BAA,permisi wisuda agustus terang terteranbspanda isi igracias menu tracer study gt sensus gt member career buka trace study gt sensus tera member career solusi
129,"""Nama saya Salma Umi Chasanah dengan NIM 1104130067 dengan status sudah sidang akademik pada 26 Januari 2018
Namun pada saat akan melakukan pendaftaran wisuda secara online dari igracias tidak dapat dilakukan dikarenakan alasan yang tidak diketahui. Mohon informasi terkait hal ini.
Terima kasih
Regards,
Salma Umi Chasanah""",BAA,nama salma umi chasanah status sidang akademik januari laku daftar wisuda online igracias laku alas informasi kait salma umi chasanah
130,"selamat malam. saya ingin mendaftar wisuda tetapi pada menu wisuda saya tidak bisa input, menunya hanya cetak berita acara. sedangkan ketika saya cetak berita acara adanya itu di cancel pada wisuda november. mohon pencerahannya",BAA,daftar wisuda menu wisuda input menu cetak berita acara cetak berita acara cancel wisuda november cerah
131,"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
&nbsp;
Terimakasih banyak.",BAA,lapor daftar wisuda igracias sidang tingkat akhir penandatanganan ijazah suda daftar igracias izin proses
132,"Assalamualaikum, maaf menganggu ada beberapa hal yang tidak sesuai pada igracias saya

Status pembayaran untuk tahun ajaran 17/18 dinyatakan belum lunas, padahal saya sudah lulus yudisium pada 8 september
Di status sidang dinyatakan saya belum sidang padahal saya sudah sidang, dan dinyatakan lulus beserta revisi2nya

Mohon diperiksa, takutnya akan menjadi kendala pada saat pendaftaran wisuda nantinya
Terima kasih",BAA,menganggu sesuai igracias status bayar ajar nyata lunas lulus yudisium september status sidang nyata sidang sidang nyata lulus revisi periksa takut kendala daftar wisuda
133,"Assalamualaikum min, saya tidak mengerti lagi ini. kenapa dalam pendaftaran wisuda di suruh mengisi trace study, menu nya tidak tersedia . tolong menu tersebut di munculkan.TerimakasihMuhammad Dzakwan Falih",BAA,erti daftar wisuda suruh isi trace study menu nya sedia menu munculkanterimakasihmuhammad dzakwan falih
134,"Selamat pagi maaf menggangu, disini saya mengalami kendala saat mau mencetak KSM awal semester 6 kemarin, sepertinya file KSM semester 6 kemarin sudah ketimpa dengan sistem registrasi baru untuk semester kedepanya, jika saya ingin mencetak ksm untuk semester 6 kemarin apakah bisa ? misalnya bisa tahap-tahapnya bagaimana ya ? jawaban dan bantuan anda sangat bermanfaat bagi saya.
Terima kasih.",BAA,menggangu alami kendala cetak ksm semester kemarin file ksm semester kemarin timpa sistem registrasi semester depa cetak ksm semester kemarin tahaptahapnya bantu manfaat
135,"1. Pembayaran SPP Genap 1415 dianggap belum lunas di iGracias.
2. Saya ingin membayar tagihan semester ini (Genap 1617) yang tertunggak (karena terlambat registrasi), namun tidak tampak nilai tagihannya.&nbsp;
mohon solusi pada kesempatan pertama, mengingat setelah poin1 &amp; 2 selesai, saya akan mengajukan ijin cuti.&nbsp;
terima kasih
hendri purnaratman
(alumni S1 STTT dan mahasiswa S2 W-2",BAA,bayar spp genap anggap lunas igracias bayar tagih semester genap tunggak lambat registrasi nilai tagihannyanbsp solusi poin selesai aju ijin cutinbsp hendri purnaratman alumni s sttt mahasiswa s
136,"saya ryan mahasiswa teknik industri 2016, saya menggunakan beasiswa jpu, tetapi tidak hanya 1x saya mengalami keterlambatan pencairan beasiswa, jadi mepet dengan  registrasi matkul",BAA,ryan mahasiswa teknik industri beasiswa jpu x alami lambat cair beasiswa mepet registrasi matkul
137,"Selamat pagi,
Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.",BAA,andika tegar setiawan beasiswa internal jppau lapor komplain kait beasiswa sesuai janji ip semester penuh syarat potong bpp ip semester sistem igracias bpp hitung bpp normal sesuai janji batas bpp potong bpp bpp rupa hasil potong laku bayar registrasi hambat proses informasi bpp bayar lancar registrasi semester
138,"maaf saya mau lapor sudah 3 semester terakhir pencairan beasiswa saya terlalu mepet dengan masa registrasi mata kuliah, sehingga saya tidak bisa mengambil matkul yang saya inginkan",BAA,lapor semester akhir cair beasiswa mepet registrasi mata kuliah ambil matkul
139,"Assalamualaikum saya dwi ratna sari dari S1 sistem informasi dengan nim 1202150258, saya ingin bertanya perihal dengan sks yg saya ambil kenapa hanya mencapai 20 sks saja, padahal. Ips acuan saya pada semester kemarin sebesar 3.13 yang mana harusnya dapat mengambil sebanyak 24 sks. Waktu kmaren pagi ketika registrasi saya masi bisa mengambil 24 sks,&nbsp; akan tetapi pas malam harinya ketika ingin submit batas sks yg dapat saya ambil hanya 20 sks.&nbsp; Kenapa bisa berubah?&nbsp; Pdhal ips acuan saya memenuhi syarat. Trimakasih",BAA,dwi ratna sari s sistem informasi perihal sks ambil capai sks ips acu semester kemarin ambil sks kmaren registrasi ambil sksnbsp pas submit batas sks ambil sksnbsp berubahnbsp ips acu penuh syarat trimakasih
140,"Selamat pagi saya Nadia Wulandari alumni dari prodi administrasi bisnis.
Terkait layanan yang saya pilih yaitu penerbitan ijazah, apakah dari pihak kampus bisa menerbitkan kembali ijazah asli? karena ijazah saya masih tertahan di satu korporat.
mohon bantuannya dan saya tunggu kabar baiknya
&nbsp;
Terima kasih",BAA,nadia wulandari alumni prodi administrasi bisnis kait layan pilih terbit ijazah kampus terbit ijazah asli ijazah tahan korporat bantu tunggu kabar
141,"Sebelumnya saya mengucapkan terima kasih telah dibantu untuk legalisasi ijazah dan transkrip secara online.
Saya ingin memberikan masukan. Untuk dokumen legalisasi yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras &nbsp;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.",BAA,bantu legalisasi ijazah transkrip online masuk dokumen legalisasi kirim letak bahan keras nbspyang lindung dokumen tekuk lipat
142,"Saya ingin menggunakan aplikasi DeLa untuk keperluan legalisasi Ijazah &amp; Transkrip Nilai, tetapi ketika saya login dengan menggunakan akun igracias yang saya miliki tidak bisa. Kemudian saya mencoba untuk membuat akun baru dan tidak bisa juga dengan keterangan ""failed, Your Account Already Exist"".
Mohon bantuannya karena saya sangat membutuhkan legalisasi tersebut. Terimakasih. :)",BAA,aplikasi dela legalisasi ijazah transkrip nilai login akun igracias milik coba akun terang failed your account already exist bantu butuh legalisasi
143,"Selamat malam bapak/ibu admin saya ingin melaporkan bahwa saya tidak bisa mendaftar wisuda pada igracias sementara saya sudah sidang tingkat akhir, penandatanganan ijazah juga suda dan ketika mau mendaftar melalui igracias tidak bisa, saya belum diizinkan, mohon segera di proses bapak/ibu admin.
&nbsp;
Terimakasih banyak.",BAA,lapor daftar wisuda igracias sidang tingkat akhir penandatanganan ijazah suda daftar igracias izin proses
144,"Assalammualaikum, berikut saya lampirkan keluhan karena saya mendapatkan email mengenai denda herregistrasi dan biaya wisuda, padahal saya tidak telat registrasi dan tidak mengajukan wisuda. Mohon segera ditindaklanjuti. Terimakasih",BAA,assalammualaikum lampir keluh email kena denda herregistrasi biaya wisuda telat registrasi aju wisuda ditindaklanjuti
145,"Sebelumnya maaf karena tidak sesuai dengan layanan kategori yang saya inginkan, karena pada saat saya memilih untuk bagian ijazah tidak ada sub kategori sedangkan diharuskan untuk memilih sub kategori (dilampiran)
 
 Dan karena tidak ada divisi khusus untuk penanganan wisuda, saya ingin memberi masukan kepada Telkom untuk memperbaiki fasilitas yang di berikan pada saat wisuda. Dikampus lain dengan harga wisuda yang lebih murah mendapatkan sepaket tiga dengan bahan dan jahitan yang rapi, sedangkan di telkom harus membayar lagi 200rb dengan bahan toga yang jelek. Lalu mengapa tidak ada penghargaan untuk mahasiswa dengan predikat lulus yang baik? Sedangkan di kampus lain sangat menghargai itu dengan memberikan selempang khusus. Mohon dipertimbangkan untuk perbaikan wisuda berikutnya.",BAA,sesuai layan kategori pilih ijazah sub kategori pilih sub kategori lampir divisi khusus tangan wisuda masuk telkom fasilitas ikan wisuda kampus harga wisuda murah paket bahan jahit rapi telkom bayar rb bahan toga jelek harga mahasiswa predikat lulus kampus harga selempang khusus timbang wisuda
146,saya sudah melakukan registrasi tetapi jadwal yang berlaku tetap yg lama dan proses registras belum selesai padahal saya sudah melakukan pencetakan ktm sesuai prosedur,BAA,laku registrasi jadwal laku proses registras selesai laku cetak ktm sesuai prosedur
147,"Yth bapak/ ibu yang berwenang,saya nabilah huwaida mahsiswa yang akan mencetak KSM. Matakuliah saya telah di ACC oleh dosen wali, Namun berkas KSM tidak muncul ketika saya membuka arsip KSM. di tuliskan tidak ada ksm yang ber laku. Mohon bantuan bapak/ibu dalam menyelesaikan masalah igracias ini. padahal selama saya registrasi saya selalu mencetak KSM yang di haruskan.",BAA,hormat berwenangsaya nabi huwaida mahsiswa cetak ksm matakuliah acc dosen wali berkas ksm muncul buka arsip ksm tulis ksm ber laku bantu selesai igracias registrasi cetak ksm
148,"Sore admin, saya ada masalah tentang registrasi. Kemarin saya input mata kuliah ada yang salah pilih kelas (mata kuliah Merancang Interior III kelasnya salah) , dan sudah di reset Wali dosen, tapi sekarang mau mengganti (menghapus lalu input kelas yang benar) tidak bisa dilakukan. Berikut dilampirkan screenshot nya. Mohon bantuannya.&nbsp",BAA,registrasi kemarin input mata kuliah salah pilih kelas mata kuliah rancang interior iii kelas salah reset wali dosen ganti hapus input kelas laku lampir screenshot nya bantuannyanbsp
149,"selamat siang, maaf saya ingin menanyakan perihal registrasi mata kuliah. saya mahasiswa ilmu komputasi yang ingin mengambil semester 10 pada masa registrasi sekarang ini. permasalahan saya mengenai preview jadwal yang tidak tertera, jadi saya tidak mengetahui apakah mata kuliah yang saya pilih tersebut bentrok atau tidak. Mohon untuk segera diperbaiki mengenai preview jadwal tersebut. terima kasih.",BAA,perihal registrasi mata kuliah mahasiswa ilmu komputasi ambil semester registrasi kena preview jadwal tera mata kuliah pilih bentrok kena preview jadwal
150,semua mahasiswa kelas IF-41-INT mengalami kendala dalam melakukan registarasi mata kuliah. kami tidak dapat melakukan registrasi dikarenakan mata kuliah default kami tidak muncul di registrasi mata kuliah. kami sudah melakukan pembayaran bpp dan web sudah kami coba untuk refresh tapi tetap tidak mengeluarkan mata kuliah default kami. terimakasih.,BAA,mahasiswa kelas ifint alami kendala laku registarasi mata kuliah laku registrasi mata kuliah default muncul registrasi mata kuliah laku bayar bpp situs coba refresh mata kuliah default
151,"Saya tidak bisa melakukan input registrasi mata kuliah semester genap. Padahal saya sudah berkali-kali mencoba menghubungi dosen wali dan sampai hari ini masih saja tidak bisa. Saya khawatir jika sampai deadline waktu yang ditentukan saya masih tetap tidak bisa registrasi mata kuliah.
 
 Mohon direspon secepatnya dan sistemnya tolong diperbaiki as soon as possible karena gangguan seperti ini sangat mengganggu kelancaran proses registrasi.",BAA,laku input registrasi mata kuliah semester genap berkalikali coba hubung dosen wali khawatir deadline registrasi mata kuliah direspon cepat sistem as soon as possible ganggu ganggu lancar proses registrasi
152,"Saya sebagai mahasiswa yang masuk lewat JPU seharusnya tidak perlu membayar BPP untuk semester 2 dikarenakan IP saya yang mencukupi. Namun, saya tidak bisa melakukan registrasi dikarenakan saya belum melakukan pembayaran biaya registrasi sebesar rp.8.150.000 yang dimana seharusnya saya tidak perlu melakukan hal itu.",BAA,mahasiswa masuk jpu bayar bpp semester ip laku registrasi laku bayar biaya registrasi rupiah laku
153,"Selamat siang, saya muhammad sholahuddin arrosyid dari teknik telekomunikasi 2017 1101174415. Jadi pada saat registrasi mata kuliah saya tidak sengaja mencentang matkul pkn dan saya lihat di matkul semester genap ada pkn, karena saya sudah mengambil matkul tersebut lalu saya hapus. Akibatnya sks semester 1 saya jadi 16 dari 19 sks. Sebelumnya ip semester 1 saya 3.5 turun menjadi 3.41 karena sks smt 1 saya hanya 16 padahal sebelum registrasi nilai akhir saya dengan 19 sks adalah 3.5.",BAA,muhammad sholahuddin arrosyid teknik telekomunikasi registrasi mata kuliah sengaja centang matkul pkn lihat matkul semester genap pkn ambil matkul hapus akibat sks semester sks ip semester turun sks smt registrasi nilai akhir sks
154,"Selamat malam.
Saya Sahnaz mahasiswa kriya tekstil dan mode 2015. Saya tidak dapat melakukan registrasi mata kuliah dikarenakan mata kuliah yang tersedia tidak dapat dicentang.Berikut mata kuliah yang akan saya ambil&nbsp; : Tugas Akhir, e-fashion, dan budaya nusantara.&nbsp;
Mohon info dan tindakan lanjutannya. Terimakasih.&nbsp",BAA,sahnaz mahasiswa kriya tekstil mode laku registrasi mata kuliah mata kuliah sedia dicentangberikut mata kuliah ambilnbsp tugas akhir efashion budaya nusantaranbsp info tindak terimakasihnbsp
155,"Selamat malam,&nbsp;
Kepada Yth. Bpk/Ibu
&nbsp;
Mohon maaf, saya ingin melaporkan perihal registrasi di igracias. Bahwa, matakuliah ""Tugas Akhir"" yang akan di ambil tidak dapat dipilih, maupun di tambahkan. Masalah ini juga terjadi kepada teman satu kelas saya lainnya.
Mohon bantuan untuk memperbaikinya. Terimakasih banyak.",BAA,malamnbsp hormat bpkibu lapor perihal registrasi igracias matakuliah tugas akhir ambil pilih teman kelas bantu
156,Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut,BAA,laku registrasi mata kuliah pilih semester sekrang budaya nusantara ta kolom sedia nyata lulus ambil mata kuliah
157,Tidak dapat melakukan registrasi mata kuliah,BAA,laku registrasi mata kuliah
158,"Saya Andika Tegar Setiawan penerima beasiswa internal JPPAU ingin melaporkan sekaligus komplain berkaitan dengan beasiswa yang saya terima. Sesuai dengan perjanjian sebelumnya, jika IP semester saya memenuhi syarat dan ketentuan saya akan mendapatkan potongan BPP, IP semester yang saya peroleh 3.53, sedangkan pada sistem igracias jumlah BPP masih terhitung jumlah BPP normal, dan ini tidak sesuai dengan perjanjian sebelumnya dimana jika pada batas BPP tertentu saya akan memperoleh potongan BPP. Dikarenakan jumlah BPP belum merupakan hasil potongan saya belum bisa melakukan pembayaran dan registrasi pun terhambat. Saya mohon untuk segera memproses dan menginformasikan berapa BPP yang harus saya bayarkan demi kelancaran saya dalam registrasi di semester ini.
Terimakasih.",BAA,andika tegar setiawan beasiswa internal jppau lapor komplain kait beasiswa sesuai janji ip semester penuh syarat potong bpp ip semester sistem igracias bpp hitung bpp normal sesuai janji batas bpp potong bpp bpp rupa hasil potong laku bayar registrasi hambat proses informasi bpp bayar lancar registrasi semester
159,"Kebijakan setiap semester untuk penerima beasiswa suka berubah-ubah. Misal semester 2 dapat registrasi walaupun belum melakukan pembayaran, lalu semester 3 tidak dapat registrasi sebelum membayar.
Kemudian, sistem kadang telat memberitahukan berapa jumlah beasiswa yang didapat, sehingga telat mengetahui berapa jumlah bpp yang harus dibayarkan.",BAA,bijak semester beasiswa suka berubahubah semester registrasi laku bayar semester registrasi bayar sistem kadang telat memberitahukan beasiswa telat bpp bayar
160,"aya&nbsp;rachmah firstriani, S1 Kriya tekstil dan mode, kelas KR 39 03B tidak bisa melakukan registasi online karena tidak ada pilihan matakuliah dan kelas sesuai dengan aturan yang seharusnya diambil pada semester genap ini pada pilihan registrasi serta tidak bisa melakukan klik pada kolom pilih yang seharusnya. Mata kuliah tersebut adalah:
Tugas Akhir (tidak bisa di Klik)&nbsp;
E-Fashion kelas KR 39 03B (tidak ada kelas dan tidak bisa di klik)
Budaya Nusantara kelas KR 39 03 (tidak ada kelas dan tidak bisa di klik)
dimohon untuk kerjasamanya terimakasih",BAA,ayanbsprachmah firstriani s kriya tekstil mode kelas kr bb laku registasi online pilih matakuliah kelas sesuai atur ambil semester genap pilih registrasi laku klik kolom pilih mata kuliah tugas akhir kliknbsp efashion kelas kr bb kelas klik budaya nusantara kelas kr kelas klik kerjasamanya
161,"Kan saya tadinya sudah dinyatakan cuti.tapi setelah beberapa waktu,jadinya batal cuti.secara administrasi saya sudah bayar BPP.secara aplikasi sudah di reject oleh wali dosen,prodi dan L.A.A fakultas.tapi kenapa statusnya masih cuti(status ini muncul pada saat registrasi mata kuliah).",BAA,nyata cutitapi waktujadinya batal cutisecara administrasi bayar bppsecara aplikasi reject wali dosenprodi laa fakultastapi status cutistatus muncul registrasi mata kuliah
162,"permisi saya mau komplain, biaya pendidikan saya sudah lunas semua tetapi kenapa status biaya pendidikan saya pada surat pernyattaan dan formulir biodata ijazah saya masih ""belum lunas""
",BAA,permisi komplain biaya didik lunas status biaya didik surat pernyattaan formulir biodata ijazah lunas
163,"Assalamualaikum wr wb.Maaf pak, saya sudah meminta cancel  untuk KSM saya ke dosen wali selama 3 hari dikarenakan kesalahan input  dan adanya MK yang belum terambil oleh saya. Namun setelah cek jam 10  pagi tadi KSM saya malah di acc oleh dosen wali saya. Saya takut kelas  yang tidak terambil oleh saya itu penuh setelah proses cancel KSM  selesai.
Terima Kasih.",BAA,wbmaaf cancel ksm dosen wali salah input mk ambil cek jam ksm acc dosen wali takut kelas ambil penuh proses cancel ksm selesai
164,"Selamat siang,&nbsp;
Saya Aulia Fiya Maulida Mahasiswi Desain Interior dengan NIM 1603151184, ingin mengajukan komplain terkait transkrip nilai akademik di iGracias.&nbsp;
Pada halaman nilai di igracias saya tertulis belum lulus sidang tingkat III, padahal saya telah menyelesaikan semua mata kuliah wajib dan satu pilihan di tingkat tersebut. Hal ini perlu dikoreksi agar saya dapat menyelesaikan proses sidang akhir pada semester ini. Berikut terlampir screenshot dari laman nilai igracias saya.
Mohon kepada admin untuk mengcross-check masalah tersebut, terimakasih.",BAA,siangnbsp aulia fiya maulida mahasiswi desain interior aju komplain kait transkrip nilai akademik igraciasnbsp halaman nilai igracias tulis lulus sidang tingkat iii selesai mata kuliah wajib pilih tingkat koreksi selesai proses sidang akhir semester lampir screenshot laman nilai igracias mengcrosscheck
165,Kenapa kartu ujian tidak bisa di cetak lg ? Klo tidak bisa di cetak Telkom sama aja ngebuat saya ngulang matakuliah,BAA,kartu uji cetak klo cetak telkom ngebuat ulang matakuliah
166,Tidak dapat melakukan registrasi mata kuliah,BAA,laku registrasi mata kuliah
167,"""Selamat malam.
Saya Sahnaz mahasiswa kriya tekstil dan mode 2015. Saya tidak dapat melakukan registrasi mata kuliah dikarenakan mata kuliah yang tersedia tidak dapat dicentang.Berikut mata kuliah yang akan saya ambil&nbsp; : Tugas Akhir, e-fashion, dan budaya nusantara.&nbsp;
Mohon info dan tindakan lanjutannya. Terimakasih.&nbsp""",BAA,sahnaz mahasiswa kriya tekstil mode laku registrasi mata kuliah mata kuliah sedia dicentangberikut mata kuliah ambilnbsp tugas akhir efashion budaya nusantaranbsp info tindak terimakasihnbsp
168,"Dear Sisfo,
Mohon bantuannya untuk dapat cetak KSM semester genap 2018/2019, sebagai salah satu syarat sidang.
Keterangan yang tertera pada menu registrasi adalah tidak ada histori KSM. Terima kasih",BAA,sisfo bantu cetak ksm semester genap salah syarat sidang terang tera menu registrasi histori ksm
169,"Assalamualaikum saya dwi ratna sari dari S1 Sistem Informasi dengan nim 1202150258, saya ingin bertanya perihal dengan sks yg saya ambil kenapa hanya mencapai 20 sks saja, padahal. Ips acuan saya pada semester kemarin sebesar 3.13 yang mana harusnya dapat mengambil sebanyak 24 sks. Waktu kmaren pagi ketika registrasi saya masi bisa mengambil 24 sks,&nbsp; akan tetapi pas malam harinya ketika ingin submit batas sks yg dapat saya ambil hanya 20 sks.&nbsp; Kenapa bisa berubah?&nbsp; Pdhal ips acuan saya memenuhi syarat. Trimakasih",BAA,dwi ratna sari s sistem informasi perihal sks ambil capai sks ips acu semester kemarin ambil sks kmaren registrasi ambil sksnbsp pas submit batas sks ambil sksnbsp berubahnbsp ips acu penuh syarat trimakasih
170,Tidak bisa melakukan registrasi untuk mata kuliah yang dipilih semester sekrang yaitu budaya nusantara dan TA karena kolom yang tersedia sudah dinyatakan lulus padahal belum pernah mengambil mata kuliah tersebut,BAA,laku registrasi mata kuliah pilih semester sekrang budaya nusantara ta kolom sedia nyata lulus ambil mata kuliah
171,Tidak dapat melakukan registrasi mata kuliah .,BAA,laku registrasi mata kuliah
172,"jadwal kelas untuk seluruh mahasiswi kelas KR 039-03B kriya tekstil, fik. tidak dapat input mata kuliah karna tidak ada pilihan kelasnya. mohon bantuannya atas kelancaran kami dalam registrasi",BAA,jadwal kelas mahasiswi kelas kr bb kriya tekstil fik input mata kuliah karna pilih kelas bantu lancar registrasi
173,"Saya tidk dapat input mata kuliah, regitrasi bermasalah.",BAA,tidk input mata kuliah regitrasi
174,"Selamat siang, saya mau komplain kenapa matkul pkn saya ada di semester 8 padahal sudah saya ambil di semester 1 dan nilainya sudah ada. Lalu, kenapa nilai kalkulus saya tidak ada padahal sebelumnya nilainya sudah ada, dan nilai akhir saya dengan 19 sks adalah 3.5 tapi kenapa sekarang sks semester 1 saya hanya 16 padahal total sks yg saya sudah ambil 19. Terima kasih",BAA,komplain matkul pkn semester ambil semester nilai nilai kalkulus nilai nilai akhir sks sks semester total sks ambil
175,"Assamalamualaikum Wr. Wb.
Saya ingin melaporkan masalah penulisan jumlah sks di menu Lihat Nilai. Seharusnya saya sudah ada 15 SKS karena tinggal agama yang belum terinput nilainya, tetapi di gambar yang saya lampirkan hanya 13 SKS. Di mohon bantuannya. Terima Kasih.
Wasalamualaikum Wr. Wb.",BAA,assamalamualaikum lapor tulis sks menu lihat nilai sks tinggal agama terinput nilai gambar lampir sks bantu wasalamualaikum
176,"Selamat malam,
Saya Yovita Margaret Abigail Purba dari jurusan Sistem Informasi (SI-42-09). Saya ingin melaporkan tentang jumlah SKS total yang tertera pada Igracias. Jumlah SKS total yang tertera pada KSM berjumlah 18 sementara SKS total yang tertera pada kolom SKS total yang ada di Igracias berjumlah 15 padahal nilai saya telah terisi semua. Berikut saya menyertakan ksm dan screenshoot pada Igracias.",BAA,yovita margaret abigail purba sistem informasi si lapor sks total tera igracias sks total tera ksm sks total tera kolom sks total igracias nilai isi ksm screenshoot igracias
177,"Saya ingin mereset mata kuliah atau SKS, karna ada kesalahan dalam menginput, mata kuliah default tidak dapat di ""checklist"" atau di ""Input"".",BAA,mereset mata kuliah sks karna salah menginput mata kuliah default checklist input
178,"Permisi maaf mau komplain, saya tidak bisa input mata kuliah yang harusnya diambil pada semester ini, pada kolom pemilihan mata kuliahnya semua ada tulisan ""tingkat"" jadi tidak bisa dipilih. Semua teman satu kelas saya juga sama seperti itu, mohon segera ditindak lanjuti. Terimakasih sebelumnya",BAA,permisi komplain input mata kuliah ambil semester kolom pilih mata kuliah tulis tingkat pilih teman kelas tindak
179,"IP saya tidak berubah padahal nilai rangkaian listrik saya dari d menjadi ab tp ip saya tetap 2,8 sedangkan saya akan registrasi dan mengambil matakuliah tingkat atas",BAA,ip ubah nilai rangkai listrik d ab ip registrasi ambil matakuliah tingkat
180,"Kak kalau mau drop mata kuliah gimana ya, soalnya belum bisa ambil mata kuliah atas",BAA,drop mata kuliah gimana ambil mata kuliah
181,"Selamat siang
Saya Rachmah Firstriani mahasiswa Kriya Tekstil dan Mode kelas KR 39 03
Tidak bisa melaksanakan proses registradi online karena matakuliah yang bersangkutan sesuai dengan proses perwalian masih belum bisa diakses sampai hari ini. Mata kuliah tersebut yaitu:
Budaya Nusantara kelas KR 39 03(Tidak ada pilihan untuk menekan klik)
E-Fashion kelas KR 39 03b (Tidak ada pilihan untuk menekan klik)
Hal serupa juga dialami oleh rekan-rekan sekelas saya yaitu kelas KR 39 03B.&nbsp;
Terimakasih, mohon untuk segera ditangani",BAA,rachmah firstriani mahasiswa kriya tekstil mode kelas kr laksana proses registradi online matakuliah sangkut sesuai proses wali akses mata kuliah budaya nusantara kelas kr pilih tekan klik efashion kelas kr bb pilih tekan klik rupa alami rekanrekan kelas kelas kr bnbsp tangan
182,Tidak bisa registrasi mata kuliah,BAA,registrasi mata kuliah
183,"Permisi maaf mau komplain, saya tidak bisa input mata kuliah yang harusnya diambil pada semester ini, pada kolom pemilihan mata kuliahnya semua ada tulisan ""tingkat"" jadi tidak bisa dipilih. Semua teman satu kelas saya juga sama seperti itu, mohon segera ditindak lanjuti. Terimakasih sebelumnya",BAA,permisi komplain input mata kuliah ambil semester kolom pilih mata kuliah tulis tingkat pilih teman kelas tindak
